Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Root","[coreclr.dll]","[coreclr.dll]",255,253,50.50,50.10,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonReader.Pop",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonReader.Push",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonSerializer..ctor",4,0,0.79,0.00,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonSerializer.GetMatchingConverter",3,3,0.59,0.59,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonSerializer.SerializeInternal",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextReader.MatchValueWithTrailingSeparator",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextReader.ParseNull",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextReader.ParseObject",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextReader.ParsePostValue",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextReader.ParseProperty",5,5,0.99,0.99,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextReader.ParseValue",9,9,1.78,1.78,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextReader.Read",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextReader.ReadData",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextReader.ReadNumberIntoBuffer",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextReader.ReadStringIntoBuffer",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextWriter.WriteEscapedString",2,2,0.40,0.40,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonTextWriter.WriteStartObject",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonWriter..cctor",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonWriter..ctor",6,0,1.19,0.00,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonWriter.AutoComplete",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonWriter.AutoCompleteAll",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonWriter.AutoCompleteClose",2,2,0.40,0.40,
"Caller","[coreclr.dll]","Newtonsoft.Json.JsonWriter.BuildStateArray",3,3,0.59,0.59,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.Extensions+<Convert>d__14`2[System.__Canon,System.__Canon].MoveNext",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JContainer..ctor",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JContainer.EnsureParentToken",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JContainer.InsertItem",2,2,0.40,0.40,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JContainer.ReadContentFrom",7,7,1.39,1.39,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JContainer.ReadTokenFrom",4,4,0.79,0.79,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JContainer.RemoveItem",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JObject.CloneToken",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JObject.Load",10,10,1.98,1.98,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JObject.Parse",6,6,1.19,1.19,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JObject.WriteTo",2,2,0.40,0.40,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext",3,3,0.59,0.59,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.System.Collections.Generic.IEnumerator<System.Collections.Generic.KeyValuePair<System.String,Newtonsoft.Json.Linq.JToken>>.get_Current",2,2,0.40,0.40,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JProperty.SetItem",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter.ExecuteFilter",8,8,1.58,1.58,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",9,9,1.78,1.78,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.FieldFilter.ExecuteFilter",12,12,2.38,2.38,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",15,15,2.97,2.97,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.System.Collections.Generic.IEnumerable<Newtonsoft.Json.Linq.JToken>.GetEnumerator",3,3,0.59,0.59,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.JPath..ctor",3,3,0.59,0.59,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.JPath.CreatePathFilter",4,4,0.79,0.79,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.JPath.Evaluate",6,6,1.19,1.19,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.JPath.ParseMain",2,2,0.40,0.40,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath",24,24,4.75,4.75,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JsonPath.ScanFilter.ExecuteFilter",3,3,0.59,0.59,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JToken.FromObjectInternal",3,3,0.59,0.59,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JToken.Remove",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JToken.SelectToken",5,5,0.99,0.99,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JToken.ToString",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JTokenWriter.WriteValue",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Linq.JValue.WriteTo",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Serialization.CachedAttributeGetter`1[System.__Canon]..cctor",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Serialization.DefaultContractResolver..ctor",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Serialization.DefaultContractResolver.CreatePrimitiveContract",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Serialization.DefaultContractResolver.GetCallbackMethodsForType",3,3,0.59,0.59,
"Caller","[coreclr.dll]","Newtonsoft.Json.Serialization.DefaultContractResolver.InitializeContract",6,5,1.19,0.99,
"Caller","[coreclr.dll]","Newtonsoft.Json.Serialization.DefaultContractResolver.ResolveCallbackMethods",2,2,0.40,0.40,
"Caller","[coreclr.dll]","Newtonsoft.Json.Serialization.DefaultContractResolver.ResolveContract",4,4,0.79,0.79,
"Caller","[coreclr.dll]","Newtonsoft.Json.Serialization.DefaultSerializationBinder..cctor",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Serialization.DefaultSerializationBinder..ctor",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Serialization.JsonPrimitiveContract..cctor",3,3,0.59,0.59,
"Caller","[coreclr.dll]","Newtonsoft.Json.Serialization.JsonPrimitiveContract..ctor",6,3,1.19,0.59,
"Caller","[coreclr.dll]","Newtonsoft.Json.Serialization.JsonSerializerInternalWriter.Serialize",7,7,1.39,1.39,
"Caller","[coreclr.dll]","Newtonsoft.Json.Serialization.JsonTypeReflector.GetAssociateMetadataTypeFromAttribute",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Utilities.CollectionUtils.ArrayEmpty",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Utilities.ConvertUtils..cctor",4,4,0.79,0.79,
"Caller","[coreclr.dll]","Newtonsoft.Json.Utilities.ConvertUtils.GetTypeCode",8,3,1.58,0.59,
"Caller","[coreclr.dll]","Newtonsoft.Json.Utilities.DateTimeUtils.TryParseDateTime",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Utilities.EnumUtils.GetValues",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Utilities.ExpressionReflectionDelegateFactory.CreateDefaultConstructor",14,14,2.77,2.77,
"Caller","[coreclr.dll]","Newtonsoft.Json.Utilities.JavaScriptUtils..cctor",5,5,0.99,0.99,
"Caller","[coreclr.dll]","Newtonsoft.Json.Utilities.JavaScriptUtils.GetCharEscapeFlags",7,1,1.39,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Utilities.ReflectionUtils.GetAttribute",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Utilities.ReflectionUtils.GetDefaultConstructor",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Utilities.ReflectionUtils.IsNullable",1,0,0.20,0.00,
"Caller","[coreclr.dll]","Newtonsoft.Json.Utilities.ThreadSafeStore`2[Newtonsoft.Json.Utilities.ConvertUtils+TypeConvertKey,System.__Canon]..ctor",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Utilities.ThreadSafeStore`2[Newtonsoft.Json.Utilities.TypeNameKey,System.__Canon]..ctor",1,1,0.20,0.20,
"Caller","[coreclr.dll]","Newtonsoft.Json.Utilities.ThreadSafeStore`2[System.__Canon,System.__Canon].AddValue",3,3,0.59,0.59,
"Callee","[coreclr.dll]","Newtonsoft.Json.JsonWriter..cctor",6,0,1.19,0.00,
"Callee","[coreclr.dll]","Newtonsoft.Json.Serialization.CachedAttributeGetter`1[System.__Canon]..cctor",1,0,0.20,0.00,
"Callee","[coreclr.dll]","Newtonsoft.Json.Serialization.DefaultContractResolver..cctor",1,0,0.20,0.00,
"Callee","[coreclr.dll]","Newtonsoft.Json.Serialization.DefaultSerializationBinder..cctor",3,0,0.59,0.00,
"Callee","[coreclr.dll]","Newtonsoft.Json.Serialization.JsonPrimitiveContract..cctor",3,0,0.59,0.00,
"Callee","[coreclr.dll]","Newtonsoft.Json.Utilities.ConvertUtils..cctor",5,0,0.99,0.00,
"Callee","[coreclr.dll]","Newtonsoft.Json.Utilities.JavaScriptUtils..cctor",6,0,1.19,0.00,
"Callee","[coreclr.dll]","Newtonsoft.Json.Utilities.ReflectionUtils..cctor",1,0,0.20,0.00,
"Root","[System.Linq.dll]","[System.Linq.dll]",2,2,0.40,0.40,
"Caller","[System.Linq.dll]","Newtonsoft.Json.Serialization.DefaultContractResolver.InitializeContract",1,1,0.20,0.20,
"Caller","[System.Linq.dll]","Newtonsoft.Json.Utilities.TypeExtensions.GetFieldsRecursive",1,1,0.20,0.20,
"Root","[System.Private.CoreLib.dll]","[System.Private.CoreLib.dll]",93,93,18.42,18.42,
"Caller","[System.Private.CoreLib.dll]","Newtonsoft.Json.Linq.JObject+<GetEnumerator>d__58.MoveNext",11,11,2.18,2.18,
"Caller","[System.Private.CoreLib.dll]","Newtonsoft.Json.Linq.JPropertyKeyedCollection.InsertItem",1,1,0.20,0.20,
"Caller","[System.Private.CoreLib.dll]","Newtonsoft.Json.Linq.JsonPath.ArrayIndexFilter+<ExecuteFilter>d__4.MoveNext",1,1,0.20,0.20,
"Caller","[System.Private.CoreLib.dll]","Newtonsoft.Json.Linq.JsonPath.FieldFilter+<ExecuteFilter>d__4.MoveNext",1,1,0.20,0.20,
"Caller","[System.Private.CoreLib.dll]","Newtonsoft.Json.Linq.JsonPath.JPath.Evaluate",18,18,3.56,3.56,
"Caller","[System.Private.CoreLib.dll]","Newtonsoft.Json.Linq.JsonPath.JPath.ParsePath",58,58,11.49,11.49,
"Caller","[System.Private.CoreLib.dll]","Newtonsoft.Json.Serialization.DefaultContractResolver.IsValidCallback",1,1,0.20,0.20,
"Caller","[System.Private.CoreLib.dll]","Newtonsoft.Json.Utilities.ExpressionReflectionDelegateFactory.CreateDefaultConstructor",1,1,0.20,0.20,
"Caller","[System.Private.CoreLib.dll]","Newtonsoft.Json.Utilities.JavaScriptUtils..cctor",1,1,0.20,0.20,
"Root","Newtonsoft.Json.JsonReader.Pop","Newtonsoft.Json.JsonReader.Pop",1,0,0.20,0.00,
"Caller","Newtonsoft.Json.JsonReader.Pop","Newtonsoft.Json.JsonReader.ValidateEnd",1,0,0.20,0.00,
"Callee","Newtonsoft.Json.JsonReader.Pop","[coreclr.dll]",1,1,0.20,0.20,
"Root","Newtonsoft.Json.JsonReader.Push","Newtonsoft.Json.JsonReader.Push",1,0,0.20,0.00,
"Caller","Newtonsoft.Json.JsonReader.Push","Newtonsoft.Json.JsonTextReader.ParseValue",1,0,0.20,0.00,
"Callee","Newtonsoft.Json.JsonReader.Push","[coreclr.dll]",1,1,0.20,0.20,
"Root","Newtonsoft.Json.JsonReader.ValidateEnd","Newtonsoft.Json.JsonReader.ValidateEnd",1,0,0.20,0.00,
"Caller","Newtonsoft.Json.JsonReader.ValidateEnd","Newtonsoft.Json.JsonTextReader.ParseValue",1,0,0.20,0.00,
"Callee","Newtonsoft.Json.JsonReader.ValidateEnd","Newtonsoft.Json.JsonReader.Pop",1,0,0.20,0.00,
"Root","Newtonsoft.Json.JsonSerializer..ctor","Newtonsoft.Json.JsonSerializer..ctor",4,0,0.79,0.00,
"Caller","Newtonsoft.Json.JsonSerializer..ctor","Newtonsoft.Json.JsonSerializer.Create",4,0,0.79,0.00,
"Callee","Newtonsoft.Json.JsonSerializer..ctor","[coreclr.dll]",4,0,0.79,0.00,
"Root","Newtonsoft.Json.JsonSerializer.Create","Newtonsoft.Json.JsonSerializer.Create",4,0,0.79,0.00,
"Callee","Newtonsoft.Json.JsonSerializer.Create","Newtonsoft.Json.JsonSerializer..ctor",4,0,0.79,0.00,
"Root","Newtonsoft.Json.JsonSerializer.GetMatchingConverter","Newtonsoft.Json.JsonSerializer.GetMatchingConverter",3,0,0.59,0.00,
"Caller","Newtonsoft.Json.JsonSerializer.GetMatchingConverter","Newtonsoft.Json.Serialization.DefaultContractResolver.InitializeContract",3,0,0.59,0.00,
"Callee","Newtonsoft.Json.JsonSerializer.GetMatchingConverter","[coreclr.dll]",3,3,0.59,0.59,
"Root","Newtonsoft.Json.JsonSerializer.SerializeInternal","Newtonsoft.Json.JsonSerializer.SerializeInternal",66,0,13.07,0.00,
"Caller","Newtonsoft.Json.JsonSerializer.SerializeInternal","Newtonsoft.Json.Linq.JToken.FromObjectInternal",66,0,13.07,0.00,
"Callee","Newtonsoft.Json.JsonSerializer.SerializeInternal","[coreclr.dll]",1,1,0.20,0.20,
"Callee","Newtonsoft.Json.JsonSerializer.SerializeInternal","Newtonsoft.Json.Serialization.JsonSerializerInternalWriter.Serialize",65,0,12.87,0.00,
"Root","Newtonsoft.Json.JsonTextReader.MatchValueWithTrailingSeparator","Newtonsoft.Json.JsonTextReader.MatchValueWithTrailingSeparator",1,0,0.20,0.00,
"Caller","Newtonsoft.Json.JsonTextReader.MatchValueWithTrailingSeparator","Newtonsoft.Json.JsonTextReader.ParseNull",1,0,0.20,0.00,
"Callee","Newtonsoft.Json.JsonTextReader.MatchValueWithTrailingSeparator","[coreclr.dll]",1,1,0.20,0.20,
"Root","Newtonsoft.Json.JsonTextReader.ParseNull","Newtonsoft.Json.JsonTextReader.ParseNull",2,0,0.40,0.00,
"Caller","Newtonsoft.Json.JsonTextReader.ParseNull","Newtonsoft.Json.JsonTextReader.ParseValue",2,0,0.40,0.00,
"Callee","Newtonsoft.Json.JsonTextReader.ParseNull","[coreclr.dll]",1,1,0.20,0.20,
"Callee","Newtonsoft.Json.JsonTextReader.ParseNull","Newtonsoft.Json.JsonTextReader.MatchValueWithTrailingSeparator",1,0,0.20,0.00,
"Root","Newtonsoft.Json.JsonTextReader.ParseNumber","Newtonsoft.Json.JsonTextReader.ParseNumber",1,0,0.20,0.00,
"Caller","Newtonsoft.Json.JsonTextReader.ParseNumber","Newtonsoft.Json.JsonTextReader.ParseValue",1,0,0.20,0.00,
"Callee","Newtonsoft.Json.JsonTextReader.ParseNumber","Newtonsoft.Json.JsonTextReader.ReadNumberIntoBuffer",1,0,0.20,0.00,
"Root","Newtonsoft.Json.JsonTextReader.ParseObject","Newtonsoft.Json.JsonTextReader.ParseObject",1,0,0.20,0.00,
"Caller","Newtonsoft.Json.JsonTextReader.ParseObject","Newtonsoft.Json.Linq.JContainer.ReadContentFrom",1,0,0.20,0.00,
"Callee","Newtonsoft.Json.JsonTextReader.ParseObject","[coreclr.dll]",1,1,0.20,0.20,
"Root","Newtonsoft.Json.JsonTextReader.ParsePostValue","Newtonsoft.Json.JsonTextReader.ParsePostValue",1,0,0.20,0.00,
"Caller","Newtonsoft.Json.JsonTextReader.ParsePostValue","Newtonsoft.Json.JsonTextReader.Read",1,0,0.20,0.00,
"Callee","Newtonsoft.Json.JsonTextReader.ParsePostValue","[coreclr.dll]",1,1,0.20,0.20,
"Root","Newtonsoft.Json.JsonTextReader.ParseProperty","Newtonsoft.Json.JsonTextReader.ParseProperty",5,0,0.99,0.00,
"Caller","Newtonsoft.Json.JsonTextReader.ParseProperty","Newtonsoft.Json.Linq.JContainer.ReadTokenFrom",5,0,0.99,0.00,
"Callee","Newtonsoft.Json.JsonTextReader.ParseProperty","[coreclr.dll]",5,5,0.99,0.99,
"Root","Newtonsoft.Json.JsonTextReader.ParseReadString","Newtonsoft.Json.JsonTextReader.ParseReadString",1,0,0.20,0.00,
"Caller","Newtonsoft.Json.JsonTextReader.ParseReadString","Newtonsoft.Json.JsonTextReader.ParseValue",1,0,0.20,0.00,
"Callee","Newtonsoft.Json.JsonTextReader.ParseReadString","Newtonsoft.Json.Utilities.DateTimeUtils.TryParseDateTime",1,0,0.20,0.00,
"Root","Newtonsoft.Json.JsonTextReader.ParseValue","Newtonsoft.Json.JsonTextReader.ParseValue",17,0,3.37,0.00,
"Caller","Newtonsoft.Json.JsonTextReader.ParseValue","Newtonsoft.Json.Linq.JContainer.ReadContentFrom",14,0,2.77,0.00,
"Caller","Newtonsoft.Json.JsonTextReader.ParseValue","Newtonsoft.Json.Linq.JObject.Load",3,0,0.59,0.00,
"Callee","Newtonsoft.Json.JsonTextReader.ParseValue","[coreclr.dll]",9,9,1.78,1.78,
"Callee","Newtonsoft.Json.JsonTextReader.ParseValue","Newtonsoft.Json.JsonReader.Push",1,0,0.20,0.00,
"Callee","Newtonsoft.Json.JsonTextReader.ParseValue","Newtonsoft.Json.JsonReader.ValidateEnd",1,0,0.20,0.00,
"Callee","Newtonsoft.Json.JsonTextReader.ParseValue","Newtonsoft.Json.JsonTextReader.ParseNull",2,0,0.40,0.00,
"Callee","Newtonsoft.Json.JsonTextReader.ParseValue","Newtonsoft.Json.JsonTextReader.ParseNumber",1,0,0.20,0.00,
"Callee","Newtonsoft.Json.JsonTextReader.ParseValue","Newtonsoft.Json.JsonTextReader.ParseReadString",1,0,0.20,0.00,
"Callee","Newtonsoft.Json.JsonTextReader.ParseValue","Newtonsoft.Json.JsonTextReader.ReadData",1,0,0.20,0.00,
"Callee","Newtonsoft.Json.JsonTextReader.ParseValue","Newtonsoft.Json.JsonTextReader.ReadStringIntoBuffer",1,0,0.20,0.00,
"Root","Newtonsoft.Json.JsonTextReader.Read","Newtonsoft.Json.JsonTextReader.Read",2,0,0.40,0.00,
"Caller","Newtonsoft.Json.JsonTextReader.Read","Newtonsoft.Json.Linq.JContainer.ReadContentFrom",2,0,0.40,0.00,
"Callee","Newtonsoft.Json.JsonTextReader.Read","[coreclr.dll]",1,1,0.20,0.20,
"Callee","Newtonsoft.Json.JsonTextReader.Read","Newtonsoft.Json.JsonTextReader.ParsePostValue",1,0,0.20,0.00,
